INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 9','Taylorville',240939,'Czech Republic');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 90','Omaha',415578,'Chile');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Green Cowley 98','Ehrhardt',914330,'Oman');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Fabien 62','Mid Florida Lakes',379992,'Vietnam');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 90','Seaboard',299117,'Mongolia');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Fabien 28','Coupeville',384464,'Comoros');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Second 55','Andale',699802,'Germany');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 63','Herreid',417959,'Mauritania');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 55','Sunnydale',585050,'Azerbaijan');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Clarendon 27','Skyline View',181558,'France');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Cowley 14','Orfordville',895553,'Guatemala');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 48','Jerico',731188,'Cuba');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Blue Fabien 9','Weeki Wachee Gardens',317465,'Australia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 85','Masonville',800792,'Cyprus');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 23','Pond Eddy',300937,'Seychelles');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 50','Mooers',350954,'Afghanistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Second 13','Huntington Park',576508,'Brazil');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Cowley 63','Turtle Creek',371653,'Austria');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 41','Avra Valley',927707,'Peru');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Blue Old 25','Canal Winchester',971362,'South Africa');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Cowley 25','Kent',583971,'Vietnam');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Green Nobel 62','Parnell',414784,'Poland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green First 35','Tobaccoville',571806,'Slovenia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red New 25','Grimsley',772278,'China');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Blue First 50','Barton',353726,'India');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Milton 13','Roscommon',527269,'Chad');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Clarendon 60','Mancos',207858,'Niger');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Green Nobel 85','Leonardtown',985322,'Congo');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 63','Howes Mill',666258,'Liechtenstein');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 18','Edgewater',147479,'East Timor');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Milton 15','Cashion Community',309207,'Mongolia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue New 89','Stanardsville',459283,'Rwanda');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Second 19','Upson',885580,'Philippines');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 51','Toa Baja',843499,'Congo');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 40','La Veta',281635,'Vanuatu');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 34','Goldsby',946952,'Armenia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 86','Hopwood',190973,'Guinea-Bissau');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Clarendon 85','South Valley Stream',723465,'South Africa');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 35','Acy',844838,'Saint Vincent & the Grenadines');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 53','Naples Park',233450,'Serbia');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Green Clarendon 76','Mounds',924831,'Taiwan');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 88','Lake Hiawatha',301236,'Dominican Republic');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Fabien 11','Taylor',481577,'Pakistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Second 91','Evans Mills',865526,'Papua New Guinea');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 24','Lake Dalecarlia',379993,'Burundi');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Milton 95','Houma',716056,'Slovakia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Second 79','Husum',787965,'Jordan');
INSERT Address (Street, City, ZIP, Country) VALUES ('South New 19','Wapiti',845754,'Japan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue New 95','Spearfish',174394,'Serbia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 87','San Felipe Pueblo',365784,'Nepal');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Green Milton 35','Mojave',679347,'Colombia');
INSERT Address (Street, City, ZIP, Country) VALUES ('West First 84','Ramos',647407,'Seychelles');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 1','Lum',915406,'St Kitts & Nevis');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 84','Las Flores',452708,'United Arab Emirates');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Second 29','Lola',750601,'Iraq');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 68','Valley Creek',598327,'Kazakhstan');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Milton 28','Jena',221831,'Tanzania');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Fabien 51','Rye Brook',412800,'Nepal');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Milton 13','Fannett',626080,'Afghanistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Cowley 10','Haviland',223947,'Somalia');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Oak 84','Croton',388809,'East Timor');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Nobel 66','Two Strike',996316,'Mozambique');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Oak 10','Pinnacle',229491,'Canada');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Fabien 16','Linn Creek',200207,'Mauritania');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Green Old 96','North Lauderdale',544250,'Tanzania');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Oak 72','Lorain',601622,'Seychelles');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 2','Rexburg',144441,'St Kitts & Nevis');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Clarendon 32','Bains',315743,'Kenya');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 24','Tacoma',715398,'Marshall Islands');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Clarendon 33','Indian River Estates',463854,'Jordan');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Red Old 27','Esmont',773990,'Benin');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 69','Temple Hills',357656,'Ghana');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 37','Meansville',186860,'Turkmenistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Blue Oak 67','Sea Isle City',675200,'Malta');
INSERT Address (Street, City, ZIP, Country) VALUES ('North White Milton 42','Palm Bay',685470,'Kazakhstan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 3','Elverson',910867,'Ecuador');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Cowley 12','Dunmore',590345,'India');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Green Clarendon 33','La Marque',724135,'Mauritania');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Fabien 24','Brushy Creek',324912,'Bulgaria');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Fabien 11','Marbury',900674,'Argentina');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 8','Goliad',389606,'South Sudan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 53','Wilton Manors',696721,'Fiji');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 86','Glenview Manor',490775,'Ethiopia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 43','Alliance',378052,'Cameroon');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Blue Cowley 27','New Milford',410340,'Mauritius');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Clarendon 65','Talmage',955020,'Central African Rep');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 29','Cathedral City',855707,'Botswana');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Blue Clarendon 31','Johnsonburg',304621,'Croatia');
INSERT Address (Street, City, ZIP, Country) VALUES ('South New 38','Smith Village',996644,'Argentina');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 70','Shelter Bay',775414,'Switzerland');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Oak 87','Stony Prairie',861416,'Burkina');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Cowley 23','Humarock',822695,'Slovakia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Cowley 7','Annetta',688431,'Egypt');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 56','Sault Sainte Marie',100908,'Montenegro');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Cowley 6','Etowah',830013,'Oman');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 64','El Rio',881984,'Guinea-Bissau');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Oak 49','Colorado Springs',430315,'Dominican Republic');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 33','Lonetree',549188,'Croatia');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Cowley 96','Delphi',350203,'Kuwait');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Second 6','Knob Lick',284726,'Greece');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Fabien 71','Duncannon',376445,'South Africa');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 40','Hampton Bays',369619,'Togo');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 2','Mark',239148,'Ecuador');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Second 54','Los Angeles',812559,'Seychelles');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Clarendon 55','Reydon',740620,'Portugal');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 95','Reyno',448484,'Malta');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Oak 8','Old Shawneetown',218489,'Spain');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green First 72','Opelika',744962,'Myanmar');
INSERT Address (Street, City, ZIP, Country) VALUES ('Old 9','Elkridge',347663,'Singapore');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Oak 96','Wegdahl',856971,'Haiti');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Red Milton 77','Tahoe City',609398,'Brazil');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Hague 4','Cedar Key',258102,'Kenya');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 12','Melder',418654,'Algeria');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Green First 17','Arch Cape',224723,'Denmark');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Second 4','Lake Panasoffkee',981953,'Bosnia Herzegovina');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 32','Southold',532681,'Libya');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Old 16','Mattydale',529295,'Slovakia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Fabien 59','Umikoa',191041,'Uzbekistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 78','Saunemin',957053,'Kenya');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Clarendon 5','Lake Brownwood',576024,'Germany');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Fabien 2','Boscobel',218666,'Nauru');
INSERT Address (Street, City, ZIP, Country) VALUES ('Clarendon 21','Marquette',367070,'Uruguay');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 34','Poynette',744694,'Albania');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 37','Hoolehua',311526,'Laos');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Nobel 88','Singleton',785286,'Georgia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Fabien 25','Johnson Corner',168375,'Brazil');
INSERT Address (Street, City, ZIP, Country) VALUES ('North First 61','Milwaukee',171580,'Liechtenstein');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Hague 82','Miami Shores',625716,'Austria');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 82','Nikolski',798020,'Mexico');
INSERT Address (Street, City, ZIP, Country) VALUES ('Oak 33','Gallipolis',971295,'Belgium');
